"passenger_count","trip_distance","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
2,15.83,1,43.5,0.5,0.5,13.97,11.08,0.3,69.85
2,11.8,1,33.5,0.5,0.5,8.07,5.54,0.3,48.41
1,16.6,1,52,0,0.5,2,5.54,0.3,60.34
1,10.22,1,30,0.5,0.5,7.37,5.54,0.3,44.21
1,10.99,1,30.5,0.5,0.5,9.34,5.54,0.3,46.68
1,3.68,1,13,0.5,0.5,4.96,5.54,0.3,24.8
1,18.7,1,52,0,0.5,11.65,5.54,0.3,69.99
1,5.75,1,60,0,0.5,14.26,10.5,0.3,85.56
2,17.01,1,52,0,0.5,11.67,5.54,0.3,70.01
1,17.78,1,52,0,0.5,5,5.54,0.3,63.34
1,17.9,1,52,0,0.5,11.65,5.54,0.3,69.99
1,3.8,1,52,0,0.5,11.65,5.54,0.3,69.99
2,18.3,1,52,0,0.5,6,5.54,0.3,64.34
2,20.64,1,52,0,0.5,11.67,5.54,0.3,70.01
1,11.28,1,33,0,0.5,9.84,5.54,0.3,49.18
1,19.98,1,52,0,0.5,11.67,5.54,0.3,70.01
2,3.2,1,11,0,0.5,3,5.54,0.3,20.34
1,17.54,1,52,0,0.5,11.67,5.54,0.3,70.01
1,10.44,1,30,0,0.5,1,5.54,0.3,37.34
1,14.3,1,42.5,0,0.5,9.15,2.54,0.3,54.99
1,17.92,1,52,0,0.5,7,5.54,0.3,65.34
1,21.57,1,52,0,0.5,7,5.54,0.3,65.34
2,17.5,1,52,0,0.5,2,5.54,0.3,60.34
1,9.85,1,28,0,0.5,6.87,5.54,0.3,41.21
1,5.86,1,19.5,0,0.5,1.14,2.54,0.3,23.98
1,20.41,1,52,0,0.5,7,5.54,0.3,65.34
1,17.99,1,52,0,0.5,11.67,5.54,0.3,70.01
1,3.7,1,12.5,0,0.5,3.75,5.54,0.3,22.59
3,23.7,1,64,0,0.5,17.55,5.54,0.3,87.89
2,14.3,1,40.5,0,0.5,3,5.54,0.3,49.84
1,18,1,52,0,0.5,10,5.54,0.3,68.34
